converged,convergence_time,n_neurons,final_mse,final_mae,max_error,final_r2,training_time,act_function,target_function
True,3.1754579544067383,100,0.0014563212171196938,0.028627745807170868,0.14099499583244324,0.9970868721138686,10.771665573120117,relu,sin
True,2.7335259914398193,500,0.00046378051047213376,0.012314580380916595,0.12828433513641357,0.9990722843213007,46.048574447631836,relu,sin
True,5.638800859451294,1000,0.000269298383500427,0.009156400337815285,0.12222260236740112,0.999461313476786,89.58791065216064,relu,sin
True,1.3227951526641846,100,6.331379699986428e-05,0.005593315698206425,0.022618422284722328,0.9998733512911713,15.607590913772583,tanh,sin
True,11.970354318618774,500,0.0003828606568276882,0.01461795810610056,0.07996414601802826,0.9992341510369442,64.67342710494995,tanh,sin
False,33.378437995910645,1000,0.014688057824969292,0.1064007356762886,0.2670383155345917,0.9706189874559641,122.63323473930359,tanh,sin
True,3.4894919395446777,100,0.0004760404408443719,0.012724095955491066,0.1338614970445633,0.99904776038602,13.156036138534546,sigmoid,sin
True,30.019713640213013,500,0.0027091330848634243,0.030209193006157875,0.2858293354511261,0.9945808304473758,51.95607328414917,sigmoid,sin
False,-1,1000,0.022763552144169807,0.09849788248538971,0.5648385286331177,0.9544653072953224,99.857266664505,sigmoid,sin
True,0.13103628158569336,100,6.211444087966811e-07,0.0006114041316322982,0.002928599715232849,0.9999948926324578,9.906521558761597,relu,gaussian
True,0.6169888973236084,500,2.1359387858410628e-07,0.000321124738547951,0.0019314885139465332,0.9999982437216204,44.518343448638916,relu,gaussian
True,1.106755256652832,1000,3.54401350932676e-07,0.00039925434975884855,0.0022875070571899414,0.9999970859305449,83.86311388015747,relu,gaussian
True,0.07430768013000488,100,1.3324731753527885e-06,0.0010168192675337195,0.002694586059078574,0.9999890437229624,15.352390050888062,tanh,gaussian
True,0.5360255241394043,500,3.295807800896e-06,0.0014419526560232043,0.005059229675680399,0.999972900179273,60.86371660232544,tanh,gaussian
True,2.1898586750030518,1000,5.256767053651856e-06,0.0019322551088407636,0.004974007606506348,0.9999567761660728,119.83485674858093,tanh,gaussian
True,0.2998998165130615,100,1.94845961232204e-06,0.0011389447608962655,0.004236394073814154,0.9999839787669771,12.816769361495972,sigmoid,gaussian
True,2.4544224739074707,500,9.666928235674277e-06,0.0026839429046958685,0.008585500530898571,0.9999205135609373,52.372891426086426,sigmoid,gaussian
True,7.7540552616119385,1000,1.9881519619957544e-05,0.0039655910804867744,0.009742632508277893,0.9998365239589475,106.08172750473022,sigmoid,gaussian
False,-1,100,0.04706086218357086,0.11182211339473724,1.1954901218414307,0.9058625847101212,10.850476741790771,relu,sin_high_freq
False,-1,500,0.022141948342323303,0.07902780920267105,0.9450257420539856,0.9557087235152721,43.85835313796997,relu,sin_high_freq
False,-1,1000,0.011930873617529869,0.055177971720695496,0.8701587319374084,0.9761342741549015,90.82454252243042,relu,sin_high_freq
False,-1,100,0.011822373606264591,0.0627499595284462,0.6464744806289673,0.976351311430335,15.021936178207397,tanh,sin_high_freq
False,-1,500,0.020623667165637016,0.08440669625997543,0.7216297388076782,0.958745788782835,62.28981256484985,tanh,sin_high_freq
False,-1,1000,0.11338145285844803,0.26984256505966187,0.8992420434951782,0.7731993049383163,120.31446862220764,tanh,sin_high_freq
False,-1,100,0.018722865730524063,0.08675693720579147,0.9141358733177185,0.9625480249524117,12.788404941558838,sigmoid,sin_high_freq
False,-1,500,0.04356073960661888,0.1230061873793602,1.110551118850708,0.9128639996051788,52.61315870285034,sigmoid,sin_high_freq
False,-1,1000,0.3263000547885895,0.45974618196487427,1.1669197082519531,0.34729111194610596,102.05533409118652,sigmoid,sin_high_freq
